[2017-12-28 11:30:24+00:00; claudioedantas; “O Carf ainda é uma caixa-preta” https://t.co/IUwo38fdoh; 3; 16; 25; 2; https://twitter.com/claudioedantas/status/946342566525591553; None; None]
[2017-12-28 11:30:02+00:00; claudioedantas; 10ª não é 13ª https://t.co/zSb9ORfhGR; 0; 5; 7; 0; https://twitter.com/claudioedantas/status/946342472392822789; None; None]
[2017-12-28 11:29:40+00:00; claudioedantas; Lula afronta abertamente o Estado Democrático https://t.co/oRalrTuHNF; 8; 22; 49; 2; https://twitter.com/claudioedantas/status/946342379031756800; None; None]
[2017-12-28 10:54:22+00:00; claudioedantas; Procurador diz que faltou apoio de Janot e Daiello à Zelotes https://t.co/a4Uy8uOZEu; 0; 3; 9; 0; https://twitter.com/claudioedantas/status/946333497878368256; None; None]
[2017-12-28 10:53:44+00:00; claudioedantas; Lewandowski absolve senador https://t.co/t3nr78AGKE; 1; 5; 6; 1; https://twitter.com/claudioedantas/status/946333339899883520; None; None]
[2017-12-28 10:53:02+00:00; claudioedantas; Forças Armadas permanecem no Rio até fim de 2018 https://t.co/Proga1MNjp; 2; 2; 5; 0; https://twitter.com/claudioedantas/status/946333162518597632; None; None]
[2017-12-28 10:52:28+00:00; claudioedantas; A presidente e sua circunstância https://t.co/uXFozpiDWf; 1; 6; 9; 0; https://twitter.com/claudioedantas/status/946333019316645889; None; None]
[2017-12-28 10:51:13+00:00; claudioedantas; Mais uma tentativa de melar a Lava Jato https://t.co/W4Cr0A7WNv; 1; 8; 10; 0; https://twitter.com/claudioedantas/status/946332703598825472; None; None]
[2017-12-28 09:49:49+00:00; claudioedantas; Não há o que temer (2) https://t.co/kg7xvGtOaX; 0; 1; 16; 0; https://twitter.com/claudioedantas/status/946317252265201664; None; None]
[2017-12-28 09:48:49+00:00; claudioedantas; Não há o que temer https://t.co/iuRkNZrrMU; 0; 2; 11; 0; https://twitter.com/claudioedantas/status/946317002154631168; None; None]
[2017-12-28 09:48:32+00:00; claudioedantas; Repita comigo https://t.co/NXPRmADmmB; 0; 5; 27; 2; https://twitter.com/claudioedantas/status/946316929307987968; None; None]
[2017-12-28 09:41:13+00:00; claudioedantas; Indulto de Temer: tudo começou com a proteção a Dilma https://t.co/FBgtrP5drD; 5; 28; 68; 2; https://twitter.com/claudioedantas/status/946315086880296961; None; None]
[2017-12-28 02:24:22+00:00; claudioedantas; PGR: INDULTO FERE A CONSTITUIÇÃO E GERA IMPUNIDADE https://t.co/jgmyTXydVC; 11; 56; 154; 3; https://twitter.com/claudioedantas/status/946205150695362561; None; None]
[2017-12-28 02:23:56+00:00; claudioedantas; TRF-4 já decidiu que indulto presidencial é inconstitucional https://t.co/jnyCz6JI2j; 20; 133; 336; 10; https://twitter.com/claudioedantas/status/946205041295273985; None; None]
[2017-12-27 23:48:03+00:00; claudioedantas; URGENTE: PGR VAI AO STF CONTRA INDULTO DE TEMER https://t.co/P4o6NHdv2L; 17; 139; 375; 12; https://twitter.com/claudioedantas/status/946165812129386496; None; None]
[2017-12-27 23:09:12+00:00; claudioedantas; Gilmar mantém cumprimento de pena de condenado na 2ª instância https://t.co/TK3AHyQNRi; 39; 67; 149; 13; https://twitter.com/claudioedantas/status/946156036225986560; None; None]
[2017-12-27 21:54:14+00:00; claudioedantas; Um exemplo de que o crime compensa no Brasil https://t.co/nA4xHJRNHJ; 21; 45; 96; 8; https://twitter.com/claudioedantas/status/946137172217868288; None; None]
[2017-12-27 21:32:27+00:00; claudioedantas; O ‘bom comportamento’ de Pizzolato https://t.co/l7b56EKUCW; 4; 5; 10; 2; https://twitter.com/claudioedantas/status/946131689537003520; None; None]
[2017-12-27 21:31:07+00:00; claudioedantas; É o Natal do 'Salva Geral'. https://t.co/lIjAkbn898; 9; 54; 77; 10; https://twitter.com/claudioedantas/status/946131354630148096; None; None]
[2017-12-27 20:51:59+00:00; claudioedantas; Barroso garante o réveillon de Pizzolato https://t.co/0BksIE0TVm; 19; 58; 84; 13; https://twitter.com/claudioedantas/status/946121505150259200; None; None]
[2017-12-27 20:51:41+00:00; claudioedantas; Marcelo Bretas fala sobre as ameaças que sofre https://t.co/LFHpPiQdpF; 2; 21; 48; 1; https://twitter.com/claudioedantas/status/946121429954842626; None; None]
[2017-12-27 20:30:42+00:00; claudioedantas; Temer insulta o povo brasileiro, diz Deltan https://t.co/JXWwaMSkF5; 20; 76; 194; 12; https://twitter.com/claudioedantas/status/946116149518970880; None; None]
[2017-12-27 20:30:00+00:00; claudioedantas; PMs do Rio Grande do Norte mantêm paralisação https://t.co/PbNC9WN0Bm; 2; 3; 6; 0; https://twitter.com/claudioedantas/status/946115972968173568; None; None]
[2017-12-27 20:24:44+00:00; claudioedantas; Sesc-RJ precisa de interventor do interventor https://t.co/grFvvrF2nb; 0; 0; 5; 1; https://twitter.com/claudioedantas/status/946114647874330624; None; None]
[2017-12-27 20:23:32+00:00; claudioedantas; Intervenção no Sesc vai parar na delegacia https://t.co/97BAUleCLL; 0; 0; 3; 1; https://twitter.com/claudioedantas/status/946114343212670976; None; None]
[2017-12-27 20:22:37+00:00; claudioedantas; https://t.co/3KFet4ylRt 😅; 0; 3; 3; 0; https://twitter.com/claudioedantas/status/946114116485337088; None; None]
