[2020-11-22 05:11:26+00:00; RenanSantosMBL; Se você quiser entender a razão do nosso fracasso como nação, lembre-se sempre que um coronel do Amapá como Alcolumbre tem as mesmas opiniões que o Felipe Neto, prosélito involuntário do politicamente correto.  Eis o resumo da merda toda. https://t.co/tIRVzMlTT5; 7; 8; 233; 1; https://twitter.com/RenanSantosMBL/status/1330378332718981122; None; https://twitter.com/davialcolumbre/status/1329837393550200834]
[2020-11-22 04:48:51+00:00; RenanSantosMBL; Aparentemente Felipe Neto não gostou do meu artigo na gazeta. https://t.co/3xd3EH5uHN; 8; 10; 324; 0; https://twitter.com/RenanSantosMBL/status/1330372650460393472; None; https://twitter.com/RenanSantosMBL/status/1330338297659465730]
[2020-11-22 04:38:57+00:00; RenanSantosMBL; Eu @felipeneto, o mundo tá vendo esse preconceito com o sobrenome do Kim aí. E essa acusação contra o @FernandoHoliday já foi encaminhada ao jurídico.   Volta pro minecraft, pois vc acabou de enterrar seu amigo Boulos. https://t.co/9SuQ9c3z9m; 36; 23; 633; 7; https://twitter.com/RenanSantosMBL/status/1330370160373411840; None; None]
[2020-11-22 04:36:20+00:00; RenanSantosMBL; Tá mto puto.   Felipe Neto é burro. https://t.co/UjUvhH33lG; 80; 31; 1120; 10; https://twitter.com/RenanSantosMBL/status/1330369501653839874; None; None]
[2020-11-22 04:29:18+00:00; RenanSantosMBL; @sarubo Um clássico!; 1; 0; 1; 0; https://twitter.com/RenanSantosMBL/status/1330367730546053123; None; None]
[2020-11-22 04:29:06+00:00; RenanSantosMBL; Sentiu. https://t.co/38Xo8rvq4f; 60; 52; 2358; 11; https://twitter.com/RenanSantosMBL/status/1330367677655887872; None; https://twitter.com/felipeneto/status/1330361287826677762]
[2020-11-22 02:32:21+00:00; RenanSantosMBL; Para todo caso polêmico, aguardemos o veredito da gente “fina, elegante e sincera” no tribunal dos cancelamentos.  https://t.co/a95GUf6fms; 19; 30; 619; 4; https://twitter.com/RenanSantosMBL/status/1330338297659465730; None; None]
[2020-11-22 01:01:18+00:00; RenanSantosMBL; @Sadas2020 Não somos moralistas nem extremistas nesse tema.; 1; 0; 5; 0; https://twitter.com/RenanSantosMBL/status/1330315383597883395; None; None]
[2020-11-22 00:55:10+00:00; RenanSantosMBL; Decerto o vírus não contamina quando os jovens são do PSOL. Imunidade de rebanho ideológico. https://t.co/H0BjP6C9Ow; 7; 11; 282; 1; https://twitter.com/RenanSantosMBL/status/1330313843298471936; None; https://twitter.com/folha/status/1325765075936800770]
[2020-11-22 00:23:16+00:00; RenanSantosMBL; @aguedescartoon Acontecendo o mesmo comigo; 3; 2; 97; 0; https://twitter.com/RenanSantosMBL/status/1330305812129058816; None; None]
[2020-11-21 22:17:51+00:00; RenanSantosMBL; Esse tipo de coisa a “imprensa profissional” não notícia. Né @folha @EstadaoPolitica ? https://t.co/GKVFQWcnTD; 4; 8; 187; 0; https://twitter.com/RenanSantosMBL/status/1330274249479774220; None; https://twitter.com/brunurbano/status/1330259926690779142]
[2020-11-21 22:10:57+00:00; RenanSantosMBL; Seja incancelável.; 8; 4; 341; 0; https://twitter.com/RenanSantosMBL/status/1330272513725698050; None; None]
[2020-11-21 20:30:30+00:00; RenanSantosMBL; @quantorendefgts Genial; 0; 0; 8; 0; https://twitter.com/RenanSantosMBL/status/1330247236144476166; None; None]
[2020-11-21 20:24:20+00:00; RenanSantosMBL; Me parece que os “conservadores” que perderam as eleições estão muito preocupados com a fraude nas urnas. Não conseguem acreditar que, após fazerem arminha com as mãos, perderam miseravelmente. Achavam que era uma formula definitiva.   Isso é só o começo da sua miséria.; 9; 15; 409; 1; https://twitter.com/RenanSantosMBL/status/1330245682683404288; None; None]
