[2020-11-14 21:16:04+00:00; gduvivier; Aurea não vai poder votar. Então BH: vote por Aurea. #ViraVotoBH https://t.co/3qEgUYiSQD; 16; 121; 1225; 12; https://twitter.com/gduvivier/status/1327721988031438848; None; https://twitter.com/aureacarolinax/status/1327673107277033472] 
[2020-11-14 15:50:14+00:00; gduvivier; Não sei se você notou, mas ultimamente as coisas não têm dado muito certo. SIGA A GRANA é o novo episódio do @GregNewsHBO: https://t.co/EggssY1VRX https://t.co/SMBkRMuuSy; 18; 61; 613; 15; https://twitter.com/gduvivier/status/1327639990214537216; None; None] 
[2020-11-14 15:31:58+00:00; gduvivier; A tristeza não passa :( https://t.co/eI8VMBvzs7; 44; 46; 5466; 2; https://twitter.com/gduvivier/status/1327635393144041474; None; https://twitter.com/GregNewsHBO/status/1327634586101223426] 
[2020-11-14 14:44:11+00:00; gduvivier; DEBATE CARIOCA! https://t.co/ugbK3PVwcY; 6; 11; 108; 2; https://twitter.com/gduvivier/status/1327623366061252616; None; None] 
[2020-11-13 19:05:29+00:00; gduvivier; @tainalon @TwitterBrasil ALO @TwitterBrasil; 13; 0; 36; 1; https://twitter.com/gduvivier/status/1327326739882774529; None; None] 
[2020-11-12 19:14:14+00:00; gduvivier; @MarPetrucelli @MarceloFreixo Você é um abutre. Alguem morreu. Respeita, cuzão.; 7; 0; 35; 0; https://twitter.com/gduvivier/status/1326966552667754499; None; None] 
[2020-11-12 16:44:18+00:00; gduvivier; SPOILER DA VIDA! https://t.co/9RImKYHtGC; 11; 2; 99; 1; https://twitter.com/gduvivier/status/1326928821048799238; None; None] 
[2020-11-12 13:22:25+00:00; gduvivier; Aqui tambem. https://t.co/olOt1em2jg; 122; 74; 3344; 34; https://twitter.com/gduvivier/status/1326878013301141504; None; https://twitter.com/augustodeAB/status/1326633708594606080] 
[2020-11-11 21:25:40+00:00; gduvivier; @torturra @q_seguro @Twitter absurdo; 3; 0; 35; 0; https://twitter.com/gduvivier/status/1326637238487310337; None; None] 
[2020-11-11 20:59:35+00:00; gduvivier; @VitorioEvandro Você é um abutre. Esse tipo de comentário jocoso, num momento desses, é coisa de quem já morreu por dentro. Sinto muito pela podridão que te habita. Espero que encontre o amor.; 30; 7; 1593; 1; https://twitter.com/gduvivier/status/1326630675869536258; None; None] 
[2020-11-11 18:58:38+00:00; gduvivier; Fizemos um fundo de apoio pro filho do Cadu. https://t.co/7acIasbD4T; 66; 407; 4356; 38; https://twitter.com/gduvivier/status/1326600238988144642; None; None] 
[2020-11-11 18:06:20+00:00; gduvivier; Quem quiser ajudar a familia pode contribuir aqui. https://t.co/2cjDkv4Ald; 13; 35; 556; 5; https://twitter.com/gduvivier/status/1326587078080163845; None; None] 
[2020-11-11 12:59:56+00:00; gduvivier; “Meus heróis nao morreram de overdose. Eles foram assassinados”. https://t.co/tayOxN6L4s; 86; 323; 7177; 39; https://twitter.com/gduvivier/status/1326509969663954944; None; None] 
[2020-11-11 12:57:46+00:00; gduvivier; Cadu era um pai apaixonado. E tinha a familia mais linda do mundo. https://t.co/9bQLESO3R0; 79; 125; 7444; 38; https://twitter.com/gduvivier/status/1326509421472706560; None; None] 
[2020-11-11 12:45:17+00:00; gduvivier; Se puderem, vejam o curta que ele dirigiu no 5xFavela - Agora por Nós Mesmos. Uma obra-prima. Ele tinha vinte e poucos anos quando dirigiu.; 27; 78; 4840; 5; https://twitter.com/gduvivier/status/1326506280073256960; None; None] 
[2020-11-11 12:41:11+00:00; gduvivier; Assassinaram um amigo, um parceiro de trabalho, uma das melhores pessoas que eu já conheci na vida. Um ser humano bom. Brilhante. Família. A morte do Cadu Barcellos deixa um buraco do tamanho do mundo.; 905; 712; 27530; 148; https://twitter.com/gduvivier/status/1326505250098909184; None; None] 
[2020-11-10 23:50:49+00:00; gduvivier; @JoeBiden https://t.co/F6pacdv5Yy; 50; 48; 2425; 5; https://twitter.com/gduvivier/status/1326311378886549504; None; None] 
[2020-11-10 23:46:50+00:00; gduvivier; COZINHA COM PIMENTA: COMO FAZER PÃO?! https://t.co/vIhfUcMDbG; 8; 6; 162; 2; https://twitter.com/gduvivier/status/1326310380310851597; None; None] 
[2020-11-10 22:22:36+00:00; gduvivier; Renuncia.; 651; 1995; 29204; 296; https://twitter.com/gduvivier/status/1326289181576978432; None; None] 
[2020-11-10 16:46:32+00:00; gduvivier; “Mais uma que Jair Bolsonaro ganha” #bolsonarogenocida  https://t.co/hmzRmlV11p; 303; 1034; 9945; 232; https://twitter.com/gduvivier/status/1326204607329153025; None; None] 
[2020-11-10 15:14:12+00:00; gduvivier; @RoniePrado https://t.co/Goi7BMq041 matéria excelente do @arturrodrigues; 0; 0; 4; 0; https://twitter.com/gduvivier/status/1326181371547619330; None; None] 
[2020-11-10 14:37:01+00:00; gduvivier; @tainadepaularj @FabioPorchat Tainá é FODA!; 10; 3; 302; 0; https://twitter.com/gduvivier/status/1326172012180623361; None; None] 
