[2020-12-01 05:14:13+00:00; felipeneto; Esse acontecimento em Criciúma serve pra gente ver a realidade q sempre foi dita, né?  Se o crime se ORGANIZAR de verdade, o Estado não consegue fazer quase nada. Ainda mais numa cidade que não é capital.  Eu estou muito assustado.; 1715; 2190; 34291; 889; https://twitter.com/felipeneto/status/1333640524763451393; None; None] 
[2020-12-01 05:04:35+00:00; felipeneto; @goldorayo Obrigado pela importância que vc me dá ❤️; 69; 8; 4502; 57; https://twitter.com/felipeneto/status/1333638100564783106; None; None] 
[2020-12-01 05:03:54+00:00; felipeneto; @RenanPeixoto_ Renan, a GloboNews não vai entrar ao vivo pra cobrir?  Gente, isso é mto sério!!!; 9; 3; 251; 4; https://twitter.com/felipeneto/status/1333637929332330496; None; None] 
[2020-12-01 04:28:45+00:00; felipeneto; Tava conversando com a Bruna sobre esse meu impulso de querer comentar tudo q vejo de errado e o quanto preciso evoluir nisso...  E ela:  “Sim, tu é muito Maria Fifi”.  Alguém sabe se eu posso mudar meu nome no cartório pra Maria Fifi? Pq é o melhor apelido q já me deram na vida.; 419; 129; 11655; 74; https://twitter.com/felipeneto/status/1333629083205431297; None; None] 
[2020-12-01 02:50:55+00:00; felipeneto; Ae @joaovicente27, eu lembro dessa época cara, mas tá mais q superado 😂😂😂 todo mundo já pegou um ranço por tabela na vida e dps viu q não tinha nada a ver. Tamo junto! https://t.co/RimpAybLhG; 83; 36; 3411; 4; https://twitter.com/felipeneto/status/1333604461420417025; None; https://twitter.com/canalgnt/status/1333600276012478464] 
[2020-11-30 16:50:38+00:00; felipeneto; @Rafael_Myself @netolab_ @eibrunocorrea @BrunoMozka @klebergalucio @eusamantalima @vi_marchetti @felipevinha @nicobururu Ah que droga... É verdade...  Tudo bem, seja o que Deus quiser...; 3; 1; 122; 1; https://twitter.com/felipeneto/status/1333453396968411149; None; None] 
[2020-11-30 16:47:19+00:00; felipeneto; @Rafael_Myself @netolab_ @eibrunocorrea @BrunoMozka @klebergalucio @eusamantalima @vi_marchetti @felipevinha @nicobururu Vc conseguiria listar quem mais foi assassinado por cada um?  Tipo... Pessoas que o Felipe mais matou: x, y, z... E um ranking pra cada um.  Pleeeeease? &lt;3; 8; 1; 241; 0; https://twitter.com/felipeneto/status/1333452561249132545; None; None] 
[2020-11-30 16:07:23+00:00; felipeneto; Terminei “Nunca Saia Sozinho”, do Charlie Donlea. Ele me enviou esse exemplar com autógrafo e dedicatória, eu fiquei 😍  O livro é excelente, te prende do início ao fim. O mistério sobre os suicídios e a resolução final são MUITO chocantes.  O Charlie é gênio!  (P/ maiores de 18) https://t.co/IHOnehhcv5; 330; 84; 8315; 50; https://twitter.com/felipeneto/status/1333442510484541440; None; None] 
[2020-11-30 15:27:09+00:00; felipeneto; @Krikorsm Ah cara, impossível não torcer pro Magnus... Admiro DEMAIS!; 3; 1; 93; 3; https://twitter.com/felipeneto/status/1333432385791291393; None; None] 
[2020-11-30 05:23:40+00:00; felipeneto; @Netodetails_ @reasonbruliipe Se você GOSTA, tenta 5 mil.; 15; 3; 231; 3; https://twitter.com/felipeneto/status/1333280514078347265; None; None] 
