2020-07-22 16:13:26+00:00; danilogentili; Peço desculpas pela sinceridade mas não é momento para humildade agora: a minha turma é barra-pesada sim e eu sou um real action man. Tentem me cancelar... apenas tentem...; 46378; 1360; ; ; https://www.instagram.com/p/CC81vVbn0Qy/
2020-07-21 01:48:57+00:00; danilogentili; EXTERMINADORES DO ALÉM - A SÉRIE - estréia em breve no @warnerchannelbrasil - 10 episódios inéditos, um fantasma diferente pra ser exterminado toda noite e muito sangue!; 28623; 480; ; ; https://www.instagram.com/p/CC4uJSQn5dV/
2020-07-08 21:55:11+00:00; danilogentili; O grande @stallonedobrasil do Brasil mostra porque é um real action hero!; 94570; 8833; ; ; https://www.instagram.com/p/CCZZpUTHMXJ/
2020-07-03 15:14:33+00:00; danilogentili; Me respondam essa: dilema do #chaves  Trecho da live do @murilocouto; 16293; 1359; ; ; https://www.instagram.com/p/CCLz6vVneLz/
2020-07-03 00:41:07+00:00; danilogentili; Adorei participar da sua live @murilocouto !; 14698; 613; ; ; https://www.instagram.com/p/CCKP_rjHNoX/
2020-07-02 01:17:18+00:00; danilogentili; None; 73502; 1849; ; ; https://www.instagram.com/p/CCHva3unlQG/
2020-06-25 16:31:40+00:00; danilogentili; Pouca gente sabe, mas fora do Brasil eu sou muito reconhecido no esporte Golfe. Tenho honrado nosso País lá fora com meu desempenho. Muitos me chamam no exterior de “White Tiger Woods” (Tigre Branco Madeiras). O #tbt de hoje vai para a minha contribuição para esse esporte.; 84008; 2087; ; ; https://www.instagram.com/p/CB3Wft8n15t/
2020-06-19 00:39:57+00:00; danilogentili; Consulte o seu signo agora mesmo - e assista completo logo mais no The Noite Inédito de hoje!; 50366; 1382; ; ; https://www.instagram.com/p/CBmMz3anv5M/
2020-06-18 20:34:21+00:00; danilogentili; #TBT do único amigo que fiz durante minhas últimas férias. Lembro o dia que fomos juntos saltar de pára-quedas. Eu pulei e gritei “Jerônimoooo”. Ele pulou e gritou “Euuuuuu”. Saudades. #tbt❤️; 43268; 649; ; ; https://www.instagram.com/p/CBlwtCxnXSp/
2020-06-17 17:09:24+00:00; danilogentili; BOA DICA: Uma boa solução nesse período que a sua mãe, seu vô ou a pessoa que você gosta e está no grupo de risco deve evitar sair de casa :  pague tudo por whatsapp! É isso: pague suas contas por Whatsapp de maneira segura e parcelando tudo em até 12x pelo #whatspag da @botpag ! #publicidade; 10598; 330; ; ; https://www.instagram.com/p/CBix9FPHHZe/
