2020-08-26 13:30:12+00:00; MarcosBotelho; Ed Rene Kivitz - Quando ouvi ele pregar pela primeira vez (1999) foi amor à primeira vista, percebi que o púlpito é um lugar para inspirar as pessoas com a exposição da palavra sem religiosidade e com ousadia.; 1; 1; 48; 0; https://twitter.com/MarcosBotelho/status/1298613718453035008; None; None
2020-08-26 13:30:11+00:00; MarcosBotelho; Jasiel Botelho - ele me ensinou integridade, a ser transparente, a levar a vida no bom humor e a sonhar grande.  Ariovaldo Ramos - ele me ensinou a pensar, a levar a sério os estudos teológicos, me mostrou que podemos ser radicais no ensino bíblico e progressista na vida.; 4; 0; 29; 0; https://twitter.com/MarcosBotelho/status/1298613716930486272; None; None
2020-08-26 13:30:10+00:00; MarcosBotelho; Hoje acordei lembrando dos 10 primeiros anos do meu ministério, e lembrei dos líderes (em tempos de cancelamento) que fizeram diferença na minha vida.  “Quem segue a justiça e a lealdade encontra vida, justiça e honra”. Pv21:21 https://t.co/zm5ljWKnSl; 3; 4; 183; 2; https://twitter.com/MarcosBotelho/status/1298613713294045186; None; None
2020-08-25 15:52:03+00:00; MarcosBotelho; Maratona de Webinários no lançamento do curso Aprendendo a Ler a Bíblia! Assina meu canal do YouTube. . - Quarta 26/08 21h – Princípios da Interpretação e Parábolas de Jesus Marcos Botelho convida Victor… https://t.co/Sa6LaOoXxO; 0; 0; 5; 0; https://twitter.com/MarcosBotelho/status/1298287028648448004; None; None
2020-08-25 13:55:51+00:00; MarcosBotelho; revisionismo alerta⚠️: um espírito incorporar uma pessoa sempre foi visto como possessão pela fé cristão, isso vem antes da escravidão de 1500 e aqui no Brasil era muito comum falar disso no espiritismo (religião de rico e branco), para de falar q é racismo de religião africana; 2; 9; 79; 0; https://twitter.com/MarcosBotelho/status/1298257786879393792; None; None
2020-08-25 13:40:59+00:00; MarcosBotelho; Como anda os pastores que Twittacam com orgulho #FechadoComBolsonaro ? Se eles agora estão calados postando um monte de pregação, não é que estão focado em mostrar sua missão de pregar, mas provavelmente estão focado em esconder seu erro com ar de santo. Frutos e árvores!; 2; 19; 212; 1; https://twitter.com/MarcosBotelho/status/1298254043635052560; None; None
2020-08-25 05:19:03+00:00; MarcosBotelho; Durou pouco o presidente calado e “sensato”, voltou a falar o que o coração está cheio!   Até o tolo, quando se cala, é reputado por sábio; e o que cerra os seus lábios é tido por entendido. Pv. 17:28; 0; 13; 186; 0; https://twitter.com/MarcosBotelho/status/1298127731784286213; None; None
2020-08-24 13:23:11+00:00; MarcosBotelho; @AlcidesioF Vou falar uma vez só. O judiciário condena no civil, a gente tem discernimento para reconhecer a árvore com o fruto. Mateus. Se vc vai ficar defendendo o indefensável. Da unfollow; 1; 0; 8; 0; https://twitter.com/MarcosBotelho/status/1297887177473392640; None; None
2020-08-24 13:15:00+00:00; MarcosBotelho; É muita idolatria e cegueira, os defensores desse corrupto, fica tanta do defendê-lo citando outra corrupções. Nunca foi questão de lisura, sempre foi questão de roubar para o outro lado!!!   Vergonhoso vc que defende esse presidente, vergonhoso e blasfemo se for um pastor.; 18; 93; 621; 5; https://twitter.com/MarcosBotelho/status/1297885116732243969; None; None
2020-08-24 13:06:26+00:00; MarcosBotelho; Presidente @jairbolsonaro não mude bruscamente de assunto porque não vai colar desta vez. Por que a primeira-dama Michelle recebeu R$ 89 mil em 21 cheques de Fabrício Queiroz e da mulher dele? O dinheiro era proveniente do gabinete do seu filho @FlavioBolsonaro? Dinheiro público?; 2; 8; 128; 0; https://twitter.com/MarcosBotelho/status/1297882963422609419; None; None
