[2017-12-19 09:07:22+00:00; BolsonaroSP; Exato. Sempre bom lembrar a frase do expoente do conservadorismo Edmund Burke! 👏👏👏 https://t.co/pmLE0b0MqJ; 2; 20; 156; 0; https://twitter.com/BolsonaroSP/status/943045080943820800; None; https://twitter.com/DepSanderson/status/942941255755067393]
[2017-12-19 09:06:09+00:00; BolsonaroSP; Brasil, terra onde bandido pode sair da prisão durante o natal para cometer crimes, mas quem mata bandido em legítima defesa pode ficar 20 anos na cadeia. E quem se insurge contra isso é radical ou extremista... https://t.co/MR4WeAbhlI; 59; 864; 2116; 48; https://twitter.com/BolsonaroSP/status/943044772633153536; None; None]
[2017-12-19 01:42:43+00:00; BolsonaroSP; A esquerdalhada se roe toda com essas coisas, pode acreditar! https://t.co/JPBuQxaV35; 7; 46; 300; 0; https://twitter.com/BolsonaroSP/status/942933178850988032; None; https://twitter.com/pauloap/status/942920538409881611]
[2017-12-19 01:42:30+00:00; BolsonaroSP; Hj na Câmara falei sobre a bizarrice da possibilidade do cunhado de Ana Hickmann ser condenado... https://t.co/DwsgnaY2oM; 58; 376; 1483; 26; https://twitter.com/BolsonaroSP/status/942933123918188544; None; None]
[2017-12-19 00:29:34+00:00; BolsonaroSP; Hj falei na Câmara sobre o caso Ana Hickmann. O Congresso tem projetos para que nessa situações quem exercer a legítima defesa n corra o risco de ir preso, falta coragem e vontade política para aprová-los.  https://t.co/8Kx3EBxrQu; 47; 215; 994; 12; https://twitter.com/BolsonaroSP/status/942914770738524160; None; None]
[2017-12-18 23:38:19+00:00; BolsonaroSP; Cuidado! Se entrarem na sua casa, balearem sua mulher e vc reagir o promotor Fracisco Santiago, o mesmo do caso Ana Hickmann, vai pedir sua prisão por até 20 anos. Afinal todo mundo merece uma 2ª chance e é sacanagem matar o bandido só pq ele baleou sua esposa (ironia, ok)...; 210; 1790; 5223; 77; https://twitter.com/BolsonaroSP/status/942901873761243137; None; None]
[2017-12-18 23:36:16+00:00; BolsonaroSP; Acho “engraçado” que no caso do cunhado da Ana Hickmann nenhuma feminista gritou “mexeu com uma mexeu com todas”. Talvez seja porque defender quem exerceu legítima defesa matando um vagabundo pise fora do politicamente correto.; 45; 495; 1973; 19; https://twitter.com/BolsonaroSP/status/942901357488590849; None; None]
[2017-12-18 20:09:40+00:00; BolsonaroSP; POLICIAIS FEDERAIS DE OLHO NA POLÍTICA. Hoje de manhã com Policiais Federais e Agentes Administrativos em Porto Alegre-RS. Agradeço ao colega Ubiratan Sanderson @SandersonPF por abrir essa porta. O momento é de renovação. A Polícia Federal tem destaque no combate à corrupção! https://t.co/4DusNCaRXM; 6; 31; 190; 0; https://twitter.com/BolsonaroSP/status/942849364967546881; None; None]
[2017-12-18 19:14:02+00:00; BolsonaroSP; Conheci um homem hoje super bem educado, um gentleman, mas era Policial Federal e com 3 acusações de tortura por bandidos que ele prendeu.   O criminoso faz de tudo para sair livre, inclusive acusar o policial. Isso faz parte da rotina policial. Não os condene.; 18; 169; 961; 1; https://twitter.com/BolsonaroSP/status/942835363692892160; None; None]
[2017-12-18 15:53:52+00:00; BolsonaroSP; Um país que prende seus heróis jamais será um país sério. Essas condutas só fazem crescer a inversão de valores que vivemos. Precisamos de líderes para botar o Brasil nos eixos!  https://t.co/PdiGqzTmyb https://t.co/zs6m3iP0FQ; 74; 212; 740; 14; https://twitter.com/BolsonaroSP/status/942784992245157888; None; None]
[2017-12-18 09:29:17+00:00; BolsonaroSP; Ladrão de galinha ir para a cadeia e ladrão amigo do rei para prisão domiciliar (leia-se mansão) é sinônimo de impunidade. Infelizmente juízes se utilizam de brechas nas leis para favorecer alguns. É preciso revogar o instituto da prisão domiciliar.; 482; 1056; 2651; 807; https://twitter.com/BolsonaroSP/status/942688208193810432; None; None]
[2017-12-18 00:55:18+00:00; BolsonaroSP; @Almagro_OEA2015 @OEA_oficial Mr. Almargo, a brazilian group of lawyers asked OEA to open an investigation to check why brazilian Electoral Supreme Court aren’t following law and didn’t put a printer next to the ballot box. Look that with care😉; 3; 15; 69; 0; https://twitter.com/BolsonaroSP/status/942558857833996288; None; None]
[2017-12-17 18:10:44+00:00; BolsonaroSP; Imagina os debates!!! https://t.co/1Rdc9bUD9u; 41; 63; 343; 7; https://twitter.com/BolsonaroSP/status/942457044426207232; None; None]
[2017-12-17 17:27:54+00:00; BolsonaroSP; Lá em casa todo mundo é Bolsonaro! Rs 😝😂 https://t.co/4UjVxMfGGH; 56; 175; 1405; 5; https://twitter.com/BolsonaroSP/status/942446267933831168; None; None]
[2017-12-17 17:19:23+00:00; BolsonaroSP; MAIS UM DOS MUITOS: PSDB 💙 PT https://t.co/fhzM6XUGHD; 17; 89; 398; 7; https://twitter.com/BolsonaroSP/status/942444124464140296; None; None]
[2017-12-17 14:01:15+00:00; BolsonaroSP; Escolas padrão Paulo Freire: sexo, drogas e notas baixas. O pior é que ainda hoje governantes de diversos partidos (PT, PSDB, PC do B...) seguem apoiando a derrocada do ensino nacional.  https://t.co/0RZGzMEHmw https://t.co/kxUNzde76y; 51; 355; 730; 25; https://twitter.com/BolsonaroSP/status/942394263215771648; None; None]
[2017-12-17 10:28:35+00:00; BolsonaroSP; @SaoBlack @exercitooficial Sim. Como diria uma amigo meu boa parte dessa imprensa é “imunda”!; 3; 0; 38; 1; https://twitter.com/BolsonaroSP/status/942340742072107008; None; None]
